epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,9812.21,0.83571,0.441,0.89071,0.97143,1,0.995,0.6965,1.13989,0.52638,1.0697,0.00044075,0.00044075,0.00044075
65,9966.59,0.8281,0.50171,0.8916,0.97143,1,0.995,0.6965,1.13989,0.52638,1.0697,0.000416,0.000416,0.000416
66,10119.7,0.85249,0.44229,0.88928,0.97067,1,0.995,0.796,1.02333,0.34693,1.02434,0.00039125,0.00039125,0.00039125
67,10274.8,0.8313,0.44362,0.90959,0.96952,1,0.995,0.796,1.01676,0.40475,0.99548,0.0003665,0.0003665,0.0003665
68,10429,0.85412,0.45457,0.89188,0.96925,1,0.995,0.796,1.03684,0.43901,0.98657,0.00034175,0.00034175,0.00034175
69,10580.2,0.84705,0.45273,0.88501,0.96925,1,0.995,0.796,1.03684,0.43901,0.98657,0.000317,0.000317,0.000317
70,10732,0.74945,0.40961,0.87623,0.96945,1,0.995,0.796,0.944,0.32133,0.99161,0.00029225,0.00029225,0.00029225
71,10880.6,0.87934,0.46673,0.9485,0.9699,1,0.995,0.796,1.03682,0.44445,1.02346,0.0002675,0.0002675,0.0002675
72,11029.6,0.75575,0.42996,0.86998,0.97102,1,0.995,0.6965,1.06441,0.44914,1.03998,0.00024275,0.00024275,0.00024275
73,11177.1,0.77977,0.40283,0.89728,0.97102,1,0.995,0.6965,1.06441,0.44914,1.03998,0.000218,0.000218,0.000218
74,11326.8,0.7452,0.39572,0.91548,0.97154,1,0.995,0.796,0.9607,0.40554,1.03254,0.00019325,0.00019325,0.00019325
75,11477.2,0.71759,0.37863,0.88808,0.97153,1,0.995,0.796,0.95365,0.29875,1.02424,0.0001685,0.0001685,0.0001685
76,11625.5,0.73519,0.39449,0.87912,0.97118,1,0.995,0.796,1.09063,0.38759,1.02409,0.00014375,0.00014375,0.00014375
77,11775.7,0.72306,0.393,0.93875,0.97118,1,0.995,0.796,1.09063,0.38759,1.02409,0.000119,0.000119,0.000119
78,11923.9,0.72925,0.40653,0.91582,0.97113,1,0.995,0.796,1.12832,0.39664,1.00946,9.425e-05,9.425e-05,9.425e-05
79,12073.2,0.76799,0.44588,0.85616,0.96813,1,0.995,0.796,1.11482,0.41074,0.99232,6.95e-05,6.95e-05,6.95e-05
80,12221.5,0.64554,0.34157,0.92746,0.942,1,0.995,0.796,1.11002,0.49096,0.98629,4.475e-05,4.475e-05,4.475e-05
